Source;Target;Weight
1352586948;1343432916;1
1130356441;1018567512;1
2350972396;1604641628;1
1523576790;2389905601;1
1523576790;295738178;1
589424021;14105609;2
589424021;17871283;1
242095141;2389905601;1
17292813;1366013839;1
541996740;909149042;1
59046694;14105609;2
59046694;371238908;1
619685068;1343432916;1
2719936344;2321638812;1
67627023;2389905601;1
67627023;14105609;1
2222394377;1018567512;1
2222394377;455325612;1
2222394377;1965456318;2
61096665;62720856;1
2572190766;1366013839;1
2612301228;234775716;1
2612301228;954858505;1
2612301228;1965456318;1
2445862754;1965456318;2
2798586552;954858505;1
43484498;2816961008;1
832371799;2196266324;1
502647162;1343432916;1
23419087;234775716;1
16668573;295738178;1
312240410;295738178;1
475199073;53269300;1
1707798522;14105609;1
77684106;14105609;1
2739193930;16024573;1
481511155;17871283;2
100709313;1018567512;1
3060631;276607267;1
360879826;1965456318;1
198276369;920206460;1
335107974;40462231;1
353100301;196162592;2
1068231488;1020875798;1
176738661;104944189;1
176738661;417475032;2
176738661;127187433;1
162133021;2389905601;2
35047139;1343432916;1
500069625;2389905601;1
108766679;127187433;2
71131551;24379132;1
1000062770;920206460;1
1000062770;17871283;1
2325682723;920206460;1
2325682723;17871283;1
18850688;920206460;2
18850688;16024573;1
418322949;417475032;1
418322949;40462231;1
14366958;417475032;1
14366958;40462231;1
2882622340;417475032;1
2882622340;40462231;1
151415788;417475032;1
151415788;40462231;1
74914097;417475032;1
74914097;40462231;1
46994377;2389905601;1
2227275901;2816961008;1
217583171;461767763;1
1318181;62613799;1
14895757;1839054584;2
3061424268;1965456318;1
16459323;1604641628;2
16459323;417475032;1
169098425;40462231;1
495194961;455325612;1
2847957899;40462231;2
2847957899;14105609;1
232964654;17871283;1
2957749303;14105609;1
2957749303;1604641628;2
71946248;371238908;2
89007278;1965456318;1
37717133;1965456318;1
574164955;27921880;1
1294185043;455325612;1
1294185043;1366013839;1
